"projectID";"euroSciVocCode";"euroSciVocPath";"euroSciVocTitle";"euroSciVocDescription"
"101167187";"/25/75/461/1239/1737";"/engineering and technology/mechanical engineering/vehicle engineering/aerospace engineering/aircraft";"aircraft";""
"101167187";"/29/99/547/1339/1761";"/social sciences/social geography/transport/transport planning/air traffic management";"air traffic management";""
"101114316";"/29/101/555/1359";"/social sciences/sociology/industrial relations/automation";"automation";""
"101114020";"/21/39/695/53763899";"/medical and health sciences/clinical medicine/gynaecology/reproductive medicine";"reproductive medicine";""
"101114020";"/29/101/553/1357";"/social sciences/sociology/demography/fertility";"fertility";""
"101114020";"/29/91/523/1307";"/social sciences/economics and business/business and management/business models";"business models";""
"101114020";"/21/39/697";"/medical and health sciences/clinical medicine/obstetrics";"obstetrics";""
"101114020";"/21/39/203";"/medical and health sciences/clinical medicine/embryology";"embryology";""
"101071680";"/25/71/443/1197";"/engineering and technology/environmental biotechnology/bioremediation/bioleaching";"bioleaching";""
"101071680";"/25/67/417";"/engineering and technology/environmental engineering/mining and mineral processing";"mining and mineral processing";""
"101071680";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101071600";"/23/43/259/783";"/natural sciences/physical sciences/electromagnetism and electronics/microelectronics";"microelectronics";""
"101114429";"/27/83/501";"/agricultural sciences/animal and dairy science/domestic animals";"domestic animals";""
"101114429";"/25/73/453/459";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/robotics";"robotics";""
"101114261";"/29/91/523/61851014";"/social sciences/economics and business/business and management/innovation management";"innovation management";""
"101114261";"/21/39/30013";"/medical and health sciences/clinical medicine/hepatology";"hepatology";""
"101102760";"/23/47/295/917";"/natural sciences/computer and information sciences/computer security/cryptography";"cryptography";""
"101114169";"/21/35/145";"/medical and health sciences/basic medicine/pathology";"pathology";""
"101071988";"/29/91/523/1313";"/social sciences/economics and business/business and management/employment";"employment";""
"101158152";"/29/91/523/61851014";"/social sciences/economics and business/business and management/innovation management";"innovation management";""
"101114412";"/21/35/159/649/1435";"/medical and health sciences/basic medicine/pharmacology and pharmacy/drug resistance/multidrug resistance";"multidrug resistance";""
"101114451";"/29/105/573";"/social sciences/educational sciences/didactics";"didactics";""
"101071724";"/21/33/30011/623";"/medical and health sciences/health sciences/health care services/eHealth";"eHealth";""
"101071724";"/23/47/295/917";"/natural sciences/computer and information sciences/computer security/cryptography";"cryptography";""
"101072133";"/29/105/573";"/social sciences/educational sciences/didactics";"didactics";""
"101113904";"/21/39/223";"/medical and health sciences/clinical medicine/surgery";"surgery";""
"101113904";"/25/73/453/58525161/44113014";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/optical sensors";"optical sensors";""
"101072034";"/27/81/30021/499/1287";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/fruit growing";"fruit growing";""
"101113615";"/23/47/297/933/1589";"/natural sciences/computer and information sciences/artificial intelligence/machine learning/deep learning";"deep learning";""
"101113791";"/25/73/453/58525161/44113014";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/optical sensors";"optical sensors";""
"101113791";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101113791";"/23/43/265";"/natural sciences/physical sciences/thermodynamics";"thermodynamics";""
"101113791";"/21/35/145";"/medical and health sciences/basic medicine/pathology";"pathology";""
"101071868";"/29/101/555/1359";"/social sciences/sociology/industrial relations/automation";"automation";""
"101071868";"/29/91/523/1311/1759";"/social sciences/economics and business/business and management/commerce/e-commerce";"e-commerce";""
"101114041";"/29/91/523/1307";"/social sciences/economics and business/business and management/business models";"business models";""
"101114041";"/25/67/425/1169/1685/98939167";"/engineering and technology/environmental engineering/energy and fuels/renewable energy/solar energy/photovoltaic";"photovoltaic";""
"101113949";"/21/39/239/737";"/medical and health sciences/clinical medicine/odontology/orthodontics";"orthodontics";""
"101071876";"/25/73/453/58525161/44113014";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/optical sensors";"optical sensors";""
"101071876";"/25/75/461/1239/1737/1829";"/engineering and technology/mechanical engineering/vehicle engineering/aerospace engineering/aircraft/rotorcraft";"rotorcraft";""
"101113634";"/25/73/453/58525161/44113014";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/optical sensors";"optical sensors";""
"101114180";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101114484";"/29/91/523/61851014";"/social sciences/economics and business/business and management/innovation management";"innovation management";""
"101114484";"/29/101/553/1357";"/social sciences/sociology/demography/fertility";"fertility";""
"101113295";"/21/39/225/1475";"/medical and health sciences/clinical medicine/oncology/bladder cancer";"bladder cancer";""
"101113295";"/21/39/223";"/medical and health sciences/clinical medicine/surgery";"surgery";""
"101113295";"/21/39/185";"/medical and health sciences/clinical medicine/anaesthesiology";"anaesthesiology";""
"101113961";"/21/35/159/79909316";"/medical and health sciences/basic medicine/pharmacology and pharmacy/drug discovery";"drug discovery";""
"101113961";"/23/47/299/951";"/natural sciences/computer and information sciences/data science/big data";"big data";""
"101113961";"/23/47/299/939";"/natural sciences/computer and information sciences/data science/natural language processing";"natural language processing";""
"101113961";"/23/47/297/935/61878528";"/natural sciences/computer and information sciences/artificial intelligence/computer vision/image recognition";"image recognition";""
"101113961";"/23/47/297/933";"/natural sciences/computer and information sciences/artificial intelligence/machine learning";"machine learning";""
"101071749";"/21/35/159/647";"/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmacokinetics";"pharmacokinetics";""
"101113560";"/21/35/159/653";"/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs";"pharmaceutical drugs";""
"101113560";"/21/35/153/627";"/medical and health sciences/basic medicine/neurology/parkinson";"parkinson";""
"101114060";"/21/39/697";"/medical and health sciences/clinical medicine/obstetrics";"obstetrics";""
"101114249";"/25/63/393";"/engineering and technology/materials engineering/fibers";"fibers";""
"101114473";"/23/49/327";"/natural sciences/biological sciences/neurobiology";"neurobiology";""
"101114473";"/21/35/159/79909316";"/medical and health sciences/basic medicine/pharmacology and pharmacy/drug discovery";"drug discovery";""
"101114473";"/21/35/145";"/medical and health sciences/basic medicine/pathology";"pathology";""
"101114473";"/21/35/153/627";"/medical and health sciences/basic medicine/neurology/parkinson";"parkinson";""
"101114473";"/29/91/523";"/social sciences/economics and business/business and management";"business and management";""
"101114487";"/21/39/211";"/medical and health sciences/clinical medicine/dermatology";"dermatology";""
"101113597";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101114192";"/23/49/345/1045/1625";"/natural sciences/biological sciences/zoology/mammalogy/primatology";"primatology";""
"101114399";"/29/101/555/1359";"/social sciences/sociology/industrial relations/automation";"automation";""
"101114399";"/25/73/453/459/1229";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/robotics/autonomous robots";"autonomous robots";""
"101114240";"/21/39/235";"/medical and health sciences/clinical medicine/psychiatry";"psychiatry";""
"101114248";"/31/107/587";"/humanities/languages and literature/linguistics";"linguistics";""
"101071856";"/23/47/297";"/natural sciences/computer and information sciences/artificial intelligence";"artificial intelligence";""
"101071856";"/23/47/307/979/50814433";"/natural sciences/computer and information sciences/software/software applications/virtual reality";"virtual reality";""
"101114273";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101114273";"/21/33/121/44109686/619";"/medical and health sciences/health sciences/infectious diseases/RNA viruses/HIV";"HIV";""
"101114273";"/25/73/30020/455/1223";"/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/mobile phones";"mobile phones";""
